OECD_Research_Area,Year_Range,Tech_Level,TRLxAdoption,Impact,Technology_Name,Tech_Count
Biological sciences,3-5 years,TECH_LEVEL_1,TRL 9 Early Adopters,86.135,Agroecology; Insects as food,2
Biological sciences,3-5 years,TECH_LEVEL_2,TRL 9 Early Adopters,70.361,AI protein Structure Prediction; Antisense therapy; Bio-MEMS; Bioelectronic sensor; Biogas digester; Biomarker identification; Biomining; Biopesticide; Bioremediation; Biostimulants; CRISPR-based genome mining; Cell therapy; Cell-Free protein Synthesis Systems; Cellulosic Biochemical Conversion; Click Chemistry; DNA assembly; Disease modeling; Drought resistent crop; Fluorescent marker; Fungal biopesticide; Gene sythesis; Gene-expression silencing; Genome mining; High resolution protein analysis; Immunogene therapy; Live cell imaging; Metabolic engineering; Microbial biopesticide; Microfluidics; Modified Nucleotide; Multi-omics; Multiplex CRISPR; Nucleic acid labeling; Phage-based food safety; Plasma sterilization; Polyhydroxyalkanoates; Post-transcriptional gene silencing; Precision fermentation; Precision molecular testing; Protein engineering; Protein labeling; Protein optimization; RNA-based therapy; Single cell diagnostics; Single-cell genomics; Spatial omics; Super-resolution imaging; Synthetic CRISPR system; Synthetic viral vector; Viral biopesticide; Viral vector delivery; Virotherapy; microbial insecticide,53
Biological sciences,3-5 years,TECH_LEVEL_2,TRL 9 Early Majority,53.166,CRISPR; DNA Forensics; DNA barcoding; Fluorescent dye; Gene Editing; Genetically modified food; Single nucleotide polymorphism analysis,7
Biological sciences,3-5 years,TECH_LEVEL_3,TRL 9 Early Adopters,64.179,Algal Photobioreactor Living Machine; Animal health monitoring; Bioreactor for insect cultivation; CRISPR edited fruit; CRISPR-Cpf1 ; Circular Economy Macroalgae Biorefinery System; Cpf1 enzyme gene editing; Deep ocean bioluminescence imaging systems; Fungal agricultural additive; Membrane Protein Production; Micro bioreactor; Microfluidic single cell sorting; Mini Bioreactors; Molecular Inversion Probe; Nano liquid chromatography mass spectrometry; Optical tweezer; Phage biocontrol against listeria; Phage biocontrol against salmonella; Plant remote network sensors; Plant-based protein isolation; Single Molecule Molecular Inversion Probe; Single cell DNA sequencing; Single cell mass cytometry; Single molecule fluorescence I situ hybridization; Single molecule localization microscopy; Structured illumination microscopy; Super-Resolution cell Imaging; rbcL barcoding,28
Biological sciences,3-5 years,TECH_LEVEL_3,TRL 9 Early Majority,61.904,CRISPR Cas12; CRISPR-Cas-9; Laser capture microdissection; Rapid diagnostic test; Single cell RNA sequencing; Single cell flow cytometry; Stimulated emission depletion,7
Biological sciences,5-7 years,TECH_LEVEL_1,TRL 5-6,63.33,Microwave genetics; Post biological intelligence,2
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 5-6,58.62,AI-mediated cross-species communication; Acoustics to activate gene expression; Bio-Membrane Proton Battery; Bio-electronic transcriptor; Brain cryopreservation technology; Cognitive enhancement gene doping; DNA battery; Deep ocean carbon sequestration systems; Enzymatic DNA battery; Enzyme-Catalyzed Magnetic Target Fusion; Genetic editing for memory enhancement; Immune function gene doping; Precision-Controlled Ultrasonic Bioenergy Generator; Programmable Bioelectronic Algal-Bacterial Energy Network; Programmable Bioelectrosynthesis Platforms; Programmable DNA Battery; Programmable Protein-Based Energy Harvesters; Protein-Based Microrobots; RNA-based Programmable Biobattery; Radio-sensitive genetic switch; Self-Replicating Enzyme Biocatalytic Energy System; Self-assembling DNA Battery; Synthetic Biological Proton Pump Battery; Wireless Power Transfer Photobioelectrochemical Network; Wireless Power Transfer Sugar Biobattery Network,25
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 5-6,68.786,DNA-Scaffolded Enzyme Cascade Biobatteries; DNA-Scaffolded Membraneless Redox Flow Biobattery; DNA-based Bio-Electronic Energy Storage System; Enzyme-Engineered Biocatalytic Energy Storage Lab-on-a-Chip; Enzyme-Engineered DNA Battery; Enzyme-Engineered Membraneless Redox Flow Biobattery; Fungi-Integrated Piezoelectric Pavement Network; Gene doping for pain tolerance; Gene modification of magneto-sensitive protein; Gene-Engineered High-Performance Algal Biophotocapacitor; Gene-engineered Electrogenetic Redox Flow Battery; Integrated Photonic-Enzymatic DNA Battery; Integrated Photonics-Enhanced Microbial Biophotolysis; Metabolically Engineered Biopolymer Solar Cell; Metabolically Engineered Living Cell-Organic Semiconductor Hybrid Storage; Metabolically Engineered Membraneless Redox Flow Battery; Metabolically Engineered Vanadium Bioreduction Flow Battery; Microbial-Based Photosynthetic-Organic Hybrid Solar Cell; Microbial-Enhanced Carbon Electrode Proton Battery; Personalized CRISPRa Bioenergy Units; Programmable Enzymatic DNA Battery; Protein-Engineered Proton Channel Battery; RNA-based Aptamer-Nanoparticle Redox Flow Battery; Self-Assembling Peptide Proton Battery; Self-Sustaining Enzymatic Biofuel Cell Arrays; Self-Sustaining Enzymatic DNA Battery; Self-assembling Microbial-Based Organic Solar Cell; Solid-State Microbial Proton Battery; Synthetic placenta; Wireless-Powered Enzymatic DNA Battery,30
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 5-6 Innovators,65.51,Programmable Fungal Bioelectricity Generation; optogenetic diagnostics,2
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 5-6 Innovators,72.284,Integrated Photonic-Enhanced Microbial Electrolysis; Integrated Photonics-Enhanced Biophotolysis; Integrated Photonics-Enhanced Enzymatic Carbon Battery; Microbial-Enhanced Enzymatic Flow Battery; Peptide-based senolytics; Phage-assembled DNA Battery; Single cell nanosensor,7
Biological sciences,5-7 years,TECH_LEVEL_1,TRL 7-8,59.99,Artificial brain; Bioinorganic quantum material; Electrogenetics; Longevity genes; Mycorrhizal Fungi; Peptide Computing; Protein-based computing,7
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 7-8,65.862,3D Biophotovoltaic Arrays; Antbiotic fungi; Bio-electronic Piezoelectric Energy Harvesting; Bioluminescent therapy; Cell signaling inspired communication; DNA computing; DNA-based self assembly; De-extinction; Disease Modifying Neurodegenerative Therapeutics; Enzymatic biobattery; Enzyme-Engineered Proton Battery; Epigenetic senolytic modulator; External storage biological integration; Fourth-generation biofuel; Gene pathway activation; Gene therapy for aging; Gene-Engineered Microbial Biofuel Factories; Genetically modified fish; Genetically modified trees; Light-Activated Enzyme Energy Conversion System; Metabolically Engineered Living Organic Solar Cell; Micro-gravity agriculture; Molecular Manufacturing of Energy-Harvesting Proteins; Molecular automata; Multicolor optogenetics; Neuroadaptive interfaces; Optogenetic-Enhanced Neural Network Bioreactors for Precision Energy Production; Pharmacological memory induction; Photosynthesis-Enhanced Bioelectrosynthesis; Photosynthetic Bio-Electronic Energy System; Photosynthetic Pathway Engineering for Direct Solar Energy Capture; Probiotic fungi; Protein-Based Flexible Light Harvesting Arrays; RNA-based Programmable Biofuel Synthesis; RNA-based Programmable Energy-Generating Molecular Machines; Radiation induced gene expression; Radiogenetics; Self-Assembling Protein-Based Biophotovoltaics; Self-Regenerating Plant-based Biobattery; Self-Replicating Metabolically Engineered Bioreactors; Self-Sustainable Photobioelectrochemical System; Self-assembling Enzyme-enhanced Photocatalytic Energy Storage Surface; Smarter Small Molecules; Supramolecular machine; Synthetic Cell-Based Microrobots; Telomere maintenance; Ubiquitin Remodeling; Underground Microbial Processes for carbon sequestration; Wireless Power Transfer Biophotovoltaics; bioregenerative life support system,50
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 7-8,66.763,2D bioprinting; 3D Printed Algal Biophotocapacitor Array; 3D-Printed Enzyme Cascade Biobatteries; Aptamer 2'-Fluoro and 2'-O-Methyl Nucleotide; Bio-sensing Adaptive Biofuel Cell; Biological nanorobot drug delivery; CRISPR Cas13; CRISPR Cas3; DNA hard drive; DNA-Templated Carbon PCM Nanostructures; Enzyme-Engineered Artificial Cell Battery; Enzyme-Engineered Biofuel Cell; Enzyme-Engineered Hydrogen-Producing Mini Bioreactors; Enzyme-Engineered Membraneless Redox Flow Battery; Enzyme-Engineered PEC Hydrogen Production; Enzyme-Engineered Self-assembling Biofuel Cells; Flexible & Stretchable Biophotovoltaics; Fungi-Based Microrobots; Fungi-Derived Flexible Photovoltaic Biocomposites; Gene-Edited Photosynthetic Protein Arrays; Gene-Engineered High-Performance Biophotovoltaics; Gene-engineered Bioluminescent Macroalgae Energy System; Gene-engineered Photosynthetic Biofuel System; Hybrid Plant-Animal Cell Microrobots; Integrated Photonic-Enhanced Algal Bioreactors; Integrated Photonics Macroalgae Energy Harvesting System; Microbial-Based Membraneless Redox Flow Battery; Microbial-Based Piezoelectric Pavement Energy Harvesting; Microbial-Enhanced Flexible PV System; Microbial-Synthesized Organic Semiconductor Photovoltaics; Microfluidic Continuous-Flow Enzymatic Biobattery; Modular Microbial Electrolysis Arrays; Modular Plant-based Biobattery System; Modular Ultrasound-Responsive Synthetic Microbial Consortium; Molecular Electronics Photomechanical Bio-MOF; Optogenetic CRISPRa Bioreactors; Optogenetic Microelectrode Array Energy Storage System; Optogenetic-Controlled Bioelectronic Algal-Bacterial Energy System; Optogenetically Controlled Microbial Energy Capacitors; Perovskite-Algae Hybrid Biophotovoltaic Storage System; Phage-Engineered Biofuel Production System; Precision-Engineered Fungal Hydrogen Production System; Programmable Microbial Biobattery; Protein-Based Conformational Energy Storage Lab-on-a-Chip; Protein-Engineered Redox Flow Biobattery; Protein-Structured Carbon PCM Composite; Protozoa-Based Microrobots; RNA-based CRISPRa Energy Harvesting Cells; Salinity resistent crop; Self-Healing Microfluidic Photosynthetic Networks; Self-Replicating Fungal Microbial Fuel Cells; Transcription Activator-Like Effector-Linked Epigenetic Reprogramming; Underwater Autonomous Macroalgae Energy Farm; Virus-Based Microrobots; Visual cortical implant; complete human embryo model,56
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 7-8 Innovators,63.662,Advanced Energy Storage Biophotovoltaics; Affinity-Directed Protein Missile; Bio-hybrid robot; Bioelectronic Plant-Microbial Living Machine; Bioluminescent-Coupled Holographic Energy Converters; Biophotovoltaics; DNA Computing; Electrogenetic switch; Gene-engineered Photosynthetic Enhancement System; Microbial-Based Self-Assembling Biobattery; Molecular computing; Molecular memory; Plant-based biobattery; Plasma genetic therapy; Quantum biological sensing; Self-Replicating CRISPRa Bioenergy Systems; Self-Sustainable Biophotovoltaic Systems; Ultrasound responsive genetic construct,18
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 7-8 Innovators,69.16,3D Bioprinted Energy-Storing Cellular Matrices; 3D Structured Photobioelectrochemical Cell; Bio-Capacitive Agricultural Swarm Robots with Protein-Based Energy Storage; Bio-Enzymatic Proton Exchange Membrane Battery; Bio-catalytic Liquid Lithium-Air Battery; Biofilm-Based Microrobots; Dendrimer antibiotics; Enzyme-Engineered Plant-based Biobattery; Enzyme-Engineered pH-Responsive Energy Capacitor; Fungi-Derived Photosensitizer Solar Cell; Gene-Engineered High-Efficiency Hydrogen-Producing Algal Strains; Gene-Engineered High-Performance Bioelectronic Algal-Bacterial System; Gene-edited Photosynthetic Protein Energy Capacitors; Gene-engineered Microbial Biophotolysis; Integrated Photonics-Enhanced Algal-Bacterial Bioelectronic Generator; Integrated Photonics-Enhanced Microbial Electrosynthesis; Integrated Photonics-Enzyme Biocatalyst System; Metabolically Engineered Microbial Microelectrode Array Energy Storage; Microbial Biofilm-Metal Foam Hybrid Energy Storage; Microbial-Enhanced Lithium-Air Redox System; Modular Multi-Enzyme Flow Battery; Modular Multi-Sugar Biobattery; Modular Scalable Biophotolysis Arrays; Photosynthetic Hydrogen-Producing Microalgal Arrays; Precision-Engineered Blue Enzyme Biocapacitor; Programmable Sugar Biobattery; Protein-Complexed Zinc-Iron Flow Battery; Protein-Engineered Metal Foam Capacitive Storage System; Protein-Engineered Proton Flow Battery; Self-Sustaining Enzymatic Flow Battery; Self-healing Microbial-Based Stretchable Supercapacitor,31
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 9 Innovators,62.052,Epigenetic reprogramming; Temperature varying resistent crop; Ultraviolet optogenetics; pH tolerant crop,4
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 9 Innovators,69.015,AI-Optimized Photobioelectrochemical System; Microgravity protein crystals manufacturing,2
Biological sciences,5-7 years,TECH_LEVEL_1,TRL 7-8 Early Adopters,66.015,Acoustic Genetics; Fungi treatment; Halophytes; Neural restoration,4
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 7-8 Early Adopters,68.197,4d bioprinting; Antisense antibiotics; Autophage senolytic modulator; Bio-holographic Light Harvesting Arrays; Biobattery; Bioelectronic Algal-Bacterial Consortia; Bioelectrosynthesis; Biohybrid microrobotics; Bioinorganic bioremediation; Biological process photosynthesis; Body fluid based biobattery; CRISPR based genetic drivers; Carbon Capture-Integrated Microbial Electrosynthesis; Cell microbots; Cellular Swarm Robotics; Cellular reprogramming; Circular Economy Plant Biobattery; DNA digital data storage; DNA-templated organic synthesis; Deep-sea biodiscovery platforms; Digital twin of brain; Edge-effect based agrotechnologies; Engineered phages; Enhanced Photosynthesis; Enzybiotics; Gene drive technology; Genetically modified fungi; Genetically modified marine species; In-Situ Resource Utilizing Microbial Electrosynthesis; Infrared optogenetics; Insect processing technology; Integrated Photonic-Microbial Fuel Cells; Integrated Photonics-Metabolic Engineering Platform; Lipid tagging; Magnetic field cell function control; Magnetogenetics; Metabolite tagging; Microbial Biobattery; Microbial Biophotolysis; Microbial Carbon Fixation; Microbial biobattery; Microbial electrolysis carbon capture; Microbial electrosynthesis; Microbial fuel cell; Modular Multi-Substrate Consolidated Bioprocessing; Molecular switch; Nanorobotics; Optogenetic biomarker; Optogenetically-Controlled Protein Energy Systems; Phage-antibiotic synergy; Phage-based drug delivery; Photobioelectrochemical cell; Programmable Blue Enzyme Energy System; Programmable Metabolic Pathway Bioreactors for Alternative Energy Production; Programmable Metabolic Protein Networks; Protein-Based Self-assembling Biophotovoltaics; Quantum-enhanced microscopy; RNA-Regulated Protein Energy Switches; RNA-based Algal Productivity Enhancement; Scaffold Proteins; Selective Photonic Disinfection; Self-Assembling Blue Enzyme Energy Arrays; Self-Assembling Microbial Bioelectrodes; Self-Assembling Piezoelectric Biosystems; Self-Assembling Protein-Based Bioreactors; Self-Replicating Photosynthetic Bioreactor System; Self-Sustainable Microbial-Based Energy Bioreactors; Self-Sustaining Microbial Fuel Cell Systems; Sugar biobattery; Temperature sensitive engineered protein; TeraHertz genetics; Thermogenetics; Ubiquitin Variant Technologies,73
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 7-8 Early Adopters,64.436,3D-Printed Cellulose Biobattery; Advanced Energy Storage Integrated Algal Biofuel Systems; Advanced Energy Storage MFC with Redox-Active Biofilms; Advanced Energy Storage Microbial Fuel Cells; Algea cell microbots; Aptamer Locked Nucleic Acids; Aptamer in vivo SELEX; Artificial Lytic Enzymes; Bio-electronic Enzyme-Catalyzed Proton Battery; Bio-electronic Interface Enhanced MFC; Bio-engineered Enzyme-Activated Carbon PCM; CRISPR-Enabled Photosynthesis Enhancement System; CRISPR-Engineered Microbial Fuel Cell System; CRISPR-GO; CRISPR-Modified Electrogenic Biofilm System; Cell-based bioprinting; Chimeric Lysins; Cultured meat bioprocess scaleup; Digital twin of organ; Electromechanical nanorobot drug delivery; Energy-Harvesting Hybrid Biophotovoltaic Cell; Energy-Harvesting Hybrid Enzymatic Biobattery; Enzymatic Biofuel Cells; Enzyme-Catalyzed Organic Redox Flow Batteries; Enzyme-Catalyzed Zinc-Iron Flow Battery; Enzyme-Engineered Biocatalytic Energy Storage Hydrogel; Enzyme-Engineered Bioelectrodes; Enzyme-Engineered Fungal Biofuel Production; Enzyme-Engineered Graphene Supercapacitor; Enzyme-Engineered Hydrogel Bioink Energy System; Enzyme-Engineered Mycobiomass Capacitors; Enzyme-Engineered Photovoltaic System; Enzyme-Engineered Proton Flow Battery; Enzyme-Engineered Quinone Proton Battery; Enzyme-Engineered Sugar Biobattery; Enzyme-Engineered Vanadium Redox Flow Battery; Enzyme-Enhanced Microbial Biobattery; Evolved Endolysins; Fungal immunosuppresant; Fungi-Enzyme Hybrid Biocatalyst System; Fungi-Mediated Supercritical Water Biomass Conversion System; Gene-Edited Microbial Consortia for Waste-to-Energy Conversion; Gene-Engineered Electrogenic Microbial Consortia; Gene-engineered High-lipid Algal Strains in Controlled Bioreactors; Gene-engineered Photosynthetic Enhancement Agrivoltaics; Gene-engineered Photosynthetic Enhancement Microalgae; In-Situ Carbon Capture Microbial Electrosynthesis System; Insect-targeted RNA spray; Integrated Photosynthetic-Electrogenic Microbial Fuel Cell; Integrated Photosynthetic-Methanogenic Bioreactor; Integrated Photosynthetic-Microbial Microfluidic Energy System; Laser-Induced Thermoacoustic Imaging; Lipid-Based Microrobots; Mealworm based biodegradble plastic; Metabolic suppresion; Metabolically Engineered Polypyrrole Bioreactors; Microbial Fuel Cell Array with Engineered Electrogenic Bacteria; Microbial Fuel Cell Bioreactor; Microbial fuel cells with DNA modifications; Microbial-Enhanced Zinc-Iron Flow Battery; Microbial-MOF Hybrid Electrocatalytic Systems; Microbial-Synthesized Graphene Battery; Microfluidic Continuous-Flow Enzyme Biobatteries; Molecular Electronics-Enhanced Algal-Bacterial Bioelectronic Generator; Nontoxic cryoprotectant; Optogenetic bioluminescent protein; Optogenetic light-activated kinase; Optogenetic photoswitchable Protein; Optogenetic viral vector; Organic Electronics Enzymatic Biofuel Cells; Organic Electronics-Integrated Photobioelectrochemical Cell; Perfect diffracting insulin crystals manufacturing; Phage-Delivered Genetic Circuit Microbial Fuel Cells; Precision In-Situ Fungal Bioremediation Energy System; Precision-Engineered Multi-Enzyme Cascade Energy Generator; Programmable Metabolic Pathway MFC; Protein-Based Membraneless Redox Flow Battery; Quantum Dot-Enhanced Photosynthetic Spectrum Expansion; Scaffold-based 3d bioprinting; Self-Assembling Algal Membrane Energy System; Self-Assembling Fungal Microbial Fuel Cell; Self-Assembling Microalgal Biofilm Energy Systems; Self-Assembling Microbial Biofilm Reactor; Self-Assembling Protein-Based PEC Membranes; Self-Sustaining Microbial Biobattery; Self-Sustaining Microbial Electrosynthesis Bioreactors; Self-Sustaining Microbial Methanogenesis Mini Bioreactors; Self-sustaining Microbial Biophotolysis Bioreactors; Single cell bioprinting; Solid-State Enzyme-Polymer Composite Biobatteries; Synthetic Biology Metal-Air Battery; Vertical Macroalgae Bioreactor Energy Towers; Wireless Power Transfer Enzymatic Biofuel Cells; Wireless Power Transfer Microbial Fuel Cell Networks; carbonic anhydrase enzyme; cyborg cockroach; magnetically-stimulated secretome release; soil based microbial fuel cell,98
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 7-8 Early Majority,56.103,Anti-fungal fungal agent; Cryoprotectant; Eco-friendly fishing gear,3
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 7-8 Early Majority,73.735,Bioluminescent imaging; Modular Scalable Biofuel Cell Array,2
Biological sciences,5-7 years,TECH_LEVEL_1,TRL 9 Early Majority,78.362,Agroecology; Biological sequestration; Cultivated energy crop; Insects as food; Microbial communities,5
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 9,69.855,Algae protein expression; Controlled environment agriculture for space; Enzyme-Engineered Consolidated Bioprocessing; In-vivo gene editing,4
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 9 Early Adopters,60.578,BLUF Protein; Biomass Carbon Removal; Climate resilient crop; Electron laser; Gene therapy; Genetic engineering cryopreservation; In-womb treatment; Microbial Electrosynthesis; Precision gene therapy; Protein Replacement Therapy; Self-Sustaining Circular Economy Microbial Electrolysis System; Single cell therapy; Third-generation biofuel,13
Biological sciences,5-7 years,TECH_LEVEL_2,TRL 9 Early Majority,69.237,AI protein Structure Prediction; Agrivoltaic plant modification; Antisense therapy; Artificial Cell protein production; Bio-MEMS; Bio-labeling; Bioelectronic sensor; Biogas digester; Bioluminescent biosensor; Biomarker identification; Biomining; Biopesticide; Bioremediation; Biostimulants; Breath analysis; CRISPR mediated protein engineering; CRISPR-based genome mining; Cell therapy; Cell-Free protein Synthesis Systems; Cell-free biomanufacturing; Cellulosic Biochemical Conversion; Click Chemistry; Controlled oxygen deprivation; Cryopreservation; DNA assembly; De novo protein design; Disease modeling; Drought resistent crop; Endophytic Fungi; Environmental genome mining; Enzyme-based biosensor; Fluorescent marker; Fungal biopesticide; Gene sythesis; Gene-expression silencing; Genetically modified proteins; Genome mining; High resolution protein analysis; Lignocellulose-Degrading Fungi; Live cell imaging; Marine-derived biopolymer; Metabolic engineering; Microbial biopesticide; Microbiome engineering; Microfluidics; Modified Nucleotide; Multi-omics; Multiplex CRISPR; Mycellium based material; Nitrogen-fixing bacteria; Nucleic acid labeling; Nutrient delivery monitoring; Optimization of plasmid design; Optogenetics; Phage-based food safety; Plasma sterilization; Post-transcriptional gene silencing; Precision fermentation; Precision molecular testing; Protein engineering; Protein labeling; Protein optimization; Protein production; Proteolysis targeting chimera; RNA-based therapy; Silk protein; Single cell diagnostics; Single-cell genomics; Somatic cell gene editing; Super-resolution imaging; Synthetic CRISPR system; Synthetic DNA sequences; Synthetic nucleotide; Synthetic viral vector; Targeted protein degradation; Transcriptional gene silencing; Viral biopesticide; Viral protein cell targeting; Viral vector delivery; biodegradable marine-derived biopolymer; microbial insecticide; non-invasive blood test; optogenetic delivery; polygenic risk score technology,84
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 5-6 Early Adopters,72.4,3D Structured Sugar Biobattery; Modular Stackable Microbial Biobattery; Vertical Multi-trophic Microalgae Energy Modules,3
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 9,65.636,Algal Bioreactors for Energy Production; Bacteria additives for wheat growth efficiency; CRISPR -based gene silencing; CRISPR Cas9 Base editing; CRISPR cell targeting; Circular Economy Microbial Fuel Cell Systems; Cultured meat cell cultivation; Engineered Lysins; Phage amplification assay,9
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 9 Early Adopters,67.03,Algal Photobioreactor Energy System; Cell-based milk; Channelrhodopsin-2; Controlled Release System for Enzybiotics; Engineered Microbial Electrosynthesis Systems; Fungal statins; Halorhodopsin; Microbial electrolysis cell; Programmable Metabolic Switch Microalgae; Reporter phage assay; Self-Sustainable Microbial Fuel Cell System; Self-amplifying DNA vaccine; Serum-free cultured meat,13
Biological sciences,5-7 years,TECH_LEVEL_3,TRL 9 Early Majority,63.893,3D Printed Customizable Algal Bioreactors; 3D Printed Modular Algal Bioreactors; Algal Photobioreactor Living Machine; Animal health monitoring; Aptamer-based biosensor; Archaerhodopsin; Automated insect farming system; Bioreactor for insect cultivation; CRISPR chromosome imaging; CRISPR edited fruit; CRISPR-Act3.0; CRISPR-Cpf1 ; CRISPRa; Cpf1 enzyme gene editing; DIY genomic sequencing devices; Dissolvable fishing net; Electroporation genetic delivery; Energy Harvesting Self-Powered Algal Monitoring System; Engineered metagenomics host; Enzyme-Engineered Cellulosic Conversion System; Fungal agricultural additive; Fungi-based nutritional supplement; Genetically coded thermosensitive reporter; In-Situ Microbial Fuel Cell Remediation Systems; In-Situ Microbial Waste Conversion System; Mass spectrometry based single cell proteomics; Membrane Protein Production; Micro bioreactor; Microfluidic bioreactor; Microfluidic single cell  capture; Microfluidic single cell sorting; Mini Bioreactors; Molecular Inversion Probe; OR-PAM imaging; Optical tweezer; Optogenetic probe; Organ-on-a-Chip; Phage biocontrol against listeria; Phage biocontrol against salmonella; Phage cocktails; Photobiomodulation for cognitive enhancement; Plant remote network sensors; Plant-based protein isolation; Single Molecule Molecular Inversion Probe; Single cell DNA sequencing; Single cell mass cytometry; Single molecule fluorescence I situ hybridization; Single molecule localization microscopy; Structured illumination microscopy; Super-Resolution cell Imaging; Vertical Stacked Microfluidic Photosynthetic Arrays; Viral DNA CRISPR Cas-9 editing; Viral DNA base editing; microbial herbicide; rbcL barcoding,55
Biological sciences,7-10 years,TECH_LEVEL_2,TRL 5-6,49.507,Enzyme-Catalyzed Magnetic Target Fusion; Genetic editing for memory enhancement; Immune function gene doping,3
Biological sciences,7-10 years,TECH_LEVEL_3,TRL 5-6,62.595,Gene doping for pain tolerance; Synthetic placenta,2
Biological sciences,7-10 years,TECH_LEVEL_3,TRL 5-6 Innovators,78.09,Fungi-Integrated Piezoelectric Pavement Network; Integrated Photonics-Enhanced Microbial Biophotolysis,2
Biological sciences,7-10 years,TECH_LEVEL_1,TRL 7-8,70,Acoustic Genetics; Post biological intelligence,2
Biological sciences,7-10 years,TECH_LEVEL_2,TRL 7-8,56.339,Autophage senolytic modulator; Brain cryopreservation technology; Circular Economy Plant Biobattery; DNA Computing; Magnetogenetics; Optogenetic biomarker; Pharmacological memory induction; Programmable Blue Enzyme Energy System; Self-Assembling Microbial Bioelectrodes,9
Biological sciences,7-10 years,TECH_LEVEL_3,TRL 7-8,63.696,Advanced Energy Storage MFC with Redox-Active Biofilms; Algea cell microbots; CRISPR-Engineered Microbial Fuel Cell System; Enzyme-Engineered Hydrogel Bioink Energy System; Enzyme-Engineered Photovoltaic System; Lipid-Based Microrobots; Metabolically Engineered Microbial Microelectrode Array Energy Storage; Modular Stackable Microbial Biobattery; Organic Electronics-Integrated Photobioelectrochemical Cell; Protein-Based Membraneless Redox Flow Battery; Self-Assembling Fungal Microbial Fuel Cell; Solid-State Enzyme-Polymer Composite Biobatteries; Wireless Power Transfer Enzymatic Biofuel Cells; Wireless Power Transfer Microbial Fuel Cell Networks,14
Biological sciences,7-10 years,TECH_LEVEL_1,TRL 7-8 Innovators,54.486,Artificial brain; Longevity genes; Microwave genetics; Peptide Computing; Protein-based computing,5
Biological sciences,7-10 years,TECH_LEVEL_2,TRL 7-8 Innovators,63.326,3D Biophotovoltaic Arrays; AI-mediated cross-species communication; Acoustics to activate gene expression; Bio-electronic transcriptor; Bioluminescent therapy; Cell signaling inspired communication; Cognitive enhancement gene doping; DNA battery; DNA computing; De-extinction; Deep ocean carbon sequestration systems; Enzymatic DNA battery; Enzyme-Engineered Proton Battery; External storage biological integration; Gene therapy for aging; Light-Activated Enzyme Energy Conversion System; Metabolically Engineered Living Organic Solar Cell; Molecular Manufacturing of Energy-Harvesting Proteins; Molecular automata; Optogenetic-Enhanced Neural Network Bioreactors for Precision Energy Production; Photosynthetic Pathway Engineering for Direct Solar Energy Capture; Precision-Controlled Ultrasonic Bioenergy Generator; Programmable Bioelectronic Algal-Bacterial Energy Network; Programmable Bioelectrosynthesis Platforms; Programmable DNA Battery; Programmable Protein-Based Energy Harvesters; Protein-Based Flexible Light Harvesting Arrays; Protein-Based Microrobots; RNA-based Programmable Biobattery; RNA-based Programmable Biofuel Synthesis; RNA-based Programmable Energy-Generating Molecular Machines; Radio-sensitive genetic switch; Radiogenetics; Self-Assembling Protein-Based Biophotovoltaics; Self-Regenerating Plant-based Biobattery; Self-Replicating Enzyme Biocatalytic Energy System; Self-Replicating Metabolically Engineered Bioreactors; Self-Sustainable Photobioelectrochemical System; Self-assembling DNA Battery; Self-assembling Enzyme-enhanced Photocatalytic Energy Storage Surface; Supramolecular machine; Synthetic Biological Proton Pump Battery; Telomere maintenance; Underground Microbial Processes for carbon sequestration; Wireless Power Transfer Biophotovoltaics; Wireless Power Transfer Photobioelectrochemical Network; Wireless Power Transfer Sugar Biobattery Network,47
